name,tel,addr,rating,review_count,lat,lng,thumbnail
가춘,02-821-3652,서울시 동작구 상도동 488,4.0,14,37.4967893,126.9535307,https://mp-seoul-image-production-s3.mangoplate.com/347318/871103_1566032709620_34178
1997영국집,055-286-1997,경상남도 창원시 의창구 용호동 53-5,4.0,10,35.2378966,128.6820167,https://mp-seoul-image-production-s3.mangoplate.com/338273/368837_1512717728788_64546
로아베이커리,070-4001-8194,서울시 마포구 서교동 468-2 한성빌딩 1F,4.0,12,37.55677023,126.91387809,https://mp-seoul-image-production-s3.mangoplate.com/848311_1559627094167042.jpg
서울커피,02-6085-4890,서울시 종로구 익선동 166-31,3.9,93,37.573272,126.990071,https://mp-seoul-image-production-s3.mangoplate.com/327936/518893_1591200008261_17241
어글리베이커리,02-338-2018,서울시 마포구 망원동 400-1,3.9,91,37.5551506,126.9060816,https://mp-seoul-image-production-s3.mangoplate.com/572525_1585029643411384.jpg
이흥용과자점,02-3479-1602,서울시 서초구 반포동 19-3 신세계백화점 강남점 B1,3.9,31,37.50555211,127.0035662,https://mp-seoul-image-production-s3.mangoplate.com/280435/875808_1530005796282_11334
빵길따라,02-332-2951,서울시 마포구 연남동 227-2  1F,3.9,28,37.5618505,126.9269574,https://mp-seoul-image-production-s3.mangoplate.com/343780/555732_1524178433501_39397
오핀,070-8812-0174,경기도 양주시 장흥면 교현리 152-11,3.9,8,37.7139986,126.9711821,https://mp-seoul-image-production-s3.mangoplate.com/2392_1539572294330826.jpg
홍도씨커피집,070-7543-0770,인천시 남동구 논현동 605-4,3.9,8,37.4046869,126.7250446,https://mp-seoul-image-production-s3.mangoplate.com/1826561_1604685210922212.jpg
베리커리 베이커리,02-511-1512,서울시 서초구 잠원동 31-16,3.9,11,37.5129108,127.01745952,https://mp-seoul-image-production-s3.mangoplate.com/486316_1552269221052259.jpg
글림,070-8804-6126,경기도 성남시 분당구 대장동 575-5,3.9,9,37.361074,127.0592961,https://mp-seoul-image-production-s3.mangoplate.com/820400_1559355536167292.jpg
쿄베이커리,02-794-5090,서울시 마포구 상수동 317-4 일앤집오피스텔 1F,3.8,156,37.54798145,126.92083112,https://mp-seoul-image-production-s3.mangoplate.com/13104/436295_1457688968538_233966
북한산제빵소,02-352-3548,서울시 은평구 진관동 170-1,3.8,23,37.6394719,126.9400337,https://mp-seoul-image-production-s3.mangoplate.com/316832_1573392159844734.jpg
아주키,02-420-1100,서울시 송파구 송파동 40  2F,3.8,8,37.5098646,127.1091841,https://mp-seoul-image-production-s3.mangoplate.com/1433827_1587546086367952.jpg
시간을 들이다,02-812-2158,서울시 동작구 상도동 321-42  1F,3.7,37,37.4978939,126.9298655,https://mp-seoul-image-production-s3.mangoplate.com/334085/532309_1600451315005_68146
고옥,051-622-1638,부산시 수영구 남천동 12-8,4.4,70,35.14361572,129.10969543,https://mp-seoul-image-production-s3.mangoplate.com/17056/1245199_1605615737402_49922
슈발츠발트,010-7591-6535,부산시 수영구 민락동 24-20,4.3,17,35.1584168,129.1266478,https://mp-seoul-image-production-s3.mangoplate.com/707105_1603789137861126.jpg
고릴라브루잉,051-714-6258,부산시 수영구 광안동 174-5,4.2,6,35.15282931,129.11631281,https://mp-seoul-image-production-s3.mangoplate.com/328576/1084364_1597411727737_31334
보성녹차,051-625-5544,부산시 수영구 남천동 363-3,4.1,37,35.140696,129.1086365,https://mp-seoul-image-production-s3.mangoplate.com/30690/1486683_1589184446526_3811
삼삼횟집,051-753-7333,부산시 수영구 민락동 181-13 민락회센타 2F,4.1,16,35.1557005,129.1242296,https://mp-seoul-image-production-s3.mangoplate.com/9239_1565437308338876.jpg
원조언양불고기,051-752-3762,부산시 수영구 광안동 204-8,4.1,11,35.1491217,129.1146688,https://mp-seoul-image-production-s3.mangoplate.com/190020/1807730_1604030783439_19945
마잘로스터스,051-626-4430,부산시 수영구 남천동 558-6,4.1,7,35.13750224,129.11258831,https://mp-seoul-image-production-s3.mangoplate.com/617296_1587906485234210.jpg
광안리끄티집,051-759-5482,부산시 수영구 민락동 175-19  1F,4.1,9,35.1561262,129.1215349,https://mp-seoul-image-production-s3.mangoplate.com/1408101_1604942179968607.jpg
스스키노,051-621-2588,부산시 수영구 남천동 16-6,4.1,5,35.1420523,129.1105394,https://mp-seoul-image-production-s3.mangoplate.com/338489/563408_1564085660030_31315
초필살돼지구이,051-757-5515,부산시 수영구 광안동 198-5  1F,4.1,6,35.1512657,129.1158782,https://mp-seoul-image-production-s3.mangoplate.com/1807342_1602491475510026.jpg
엄용백 돼지국밥,051-757-8092,부산시 수영구 광안동 76-20,4.0,29,35.1662717,129.1172546,https://mp-seoul-image-production-s3.mangoplate.com/438753_1605771419929865.jpg
수변최고돼지국밥,051-754-9222,부산시 수영구 민락동 110-54,4.0,15,35.1567807,129.1342689,https://mp-seoul-image-production-s3.mangoplate.com/31001/1668585_1604931429212_2521
자매국밥,051-752-1912,부산시 수영구 민락동 32-10,4.0,8,35.1582873,129.1256997,https://mp-seoul-image-production-s3.mangoplate.com/30700/1668585_1604756251402_2385
동경밥상,070-7576-1428,부산시 수영구 남천동 3-25,4.0,8,35.148423,129.1138148,https://mp-seoul-image-production-s3.mangoplate.com/1458608_1604347620859190.jpg
녹아내려,051-995-7549,부산시 수영구 광안동 171-21,4.0,11,35.1541696,129.1148485,https://mp-seoul-image-production-s3.mangoplate.com/617296_1587299822002700.jpg
다케다야,051-611-5711,부산시 수영구 남천동 3-58,3.9,34,35.14660851,129.11279193,https://mp-seoul-image-production-s3.mangoplate.com/1388694_1603505796676663.jpg
메트르아티정,070-8829-0513,부산시 수영구 남천동 15-16,3.9,11,35.1414301,129.1102472,https://mp-seoul-image-production-s3.mangoplate.com/245749/cu4gnqyyvain6v.jpg
오후의홍차,051-753-5115,부산시 수영구 민락동 336-11  4F,3.9,9,35.16402054,129.12843323,https://mp-seoul-image-production-s3.mangoplate.com/573810_1600614086980962.jpg
다리집,051-625-0130,부산시 수영구 남천동 30-13,3.8,143,35.1473599,129.110932,https://mp-seoul-image-production-s3.mangoplate.com/27597_1535647546452207.jpg
버거앤파스타,051-751-6631,부산시 수영구 광안동 193-4 부산광안대우아이빌 1F,3.8,34,35.15309279,129.11771387,https://mp-seoul-image-production-s3.mangoplate.com/617296_1587297413603900.jpg
수영돼지국밥,051-758-5046,부산시 수영구 광안동 117-17,3.8,42,35.16173273,129.11443079,https://mp-seoul-image-production-s3.mangoplate.com/30357/ritwdf1rqhaty6.jpg
카페오뜨,051-743-6969,부산시 수영구 광안동 196-1,3.8,16,35.1527642,129.1175844,https://mp-seoul-image-production-s3.mangoplate.com/1826559_1604683265420830.jpg
앙드레,051-977-3922,부산시 수영구 민락동 31-4,3.8,10,35.1590082,129.1259106,https://mp-seoul-image-production-s3.mangoplate.com/21015_1507661075074495.jpg
할매재첩국,051-751-7658,부산시 수영구 광안동 198-1,3.8,15,35.1520004,129.1164575,https://mp-seoul-image-production-s3.mangoplate.com/981648_1529290810322946.jpg
옵스,051-625-4300,부산시 수영구 남천동 233,3.7,113,35.13960542,129.10876791,https://mp-seoul-image-production-s3.mangoplate.com/1140200_1546146258294539.jpg
남양수산,064-782-6618,제주 서귀포시 성산읍 고성리 1191-6,4.6,92,33.45006984,126.91410125,https://mp-seoul-image-production-s3.mangoplate.com/187247/1126105_1572446257677_12337
형제상회,02-816-8227,서울시 동작구 노량진동 13-8 노량진수산시장 60호,4.5,98,37.51531611,126.94162637,https://mp-seoul-image-production-s3.mangoplate.com/673960_1570298353028692.jpg
바다회사랑,02-338-0872,서울시 마포구 연남동 566-8,4.5,137,37.56041168,126.92106314,https://mp-seoul-image-production-s3.mangoplate.com/18019/1526626_1573929154667_355
미영이네식당,064-792-0077,제주 서귀포시 대정읍 하모리 770-29,4.5,47,33.21767517,126.24983803,https://mp-seoul-image-production-s3.mangoplate.com/14929/1246733_1567061197726_17794
곰막,064-727-5111,제주 제주시 구좌읍 동복리 667-1,4.4,65,33.55705795,126.72056027,https://mp-seoul-image-production-s3.mangoplate.com/789735_1568516637574025.jpg
명성횟집,051-468-8089,부산시 동구 수정동 207-20,4.4,22,35.12984247,129.04762884,https://mp-seoul-image-production-s3.mangoplate.com/16979/207021_1562765496962_9621
청계어시장전주식당,02-2265-2468,서울시 중구 주교동 153-2,4.4,11,37.56826782,126.9972229,https://mp-seoul-image-production-s3.mangoplate.com/73469/90579_1588066545794_24689
엄마손횟집,064-747-0317,제주 제주시 연동 262-24,4.4,12,33.48669238,126.48804169,https://mp-seoul-image-production-s3.mangoplate.com/66234_1571210184469538.jpg
노들강,02-517-6044,서울시 강남구 논현동 184-18,4.4,10,37.50619498,127.02584085,https://mp-seoul-image-production-s3.mangoplate.com/12738/663007_1513429852114_15843
횟집울릉도,02-356-8898,서울시 은평구 녹번동 154-30,4.3,14,37.6035717,126.92479998,https://mp-seoul-image-production-s3.mangoplate.com/249700/1042666_1597122532557_37314
독도수산,010-8300-0225,서울시 동작구 노량진동 13-6 노량진수산시장 신관 1F 활어2-3호,4.3,12,37.51509814,126.93779738,https://mp-seoul-image-production-s3.mangoplate.com/337640/621247_1604636115674_19477
용기수산,010-3233-3695,서울시 송파구 가락동 600,4.3,9,37.49602466,127.1107532,https://mp-seoul-image-production-s3.mangoplate.com/246796/201978_1578747824883_5388
사당광안리,010-7588-4824,서울시 동작구 사당동 1031-37,4.2,23,37.4799206,126.9813168,https://mp-seoul-image-production-s3.mangoplate.com/234388/550856_1581312684537_1229
그리운바다성산포,064-784-2128,제주 서귀포시 성산읍 성산리 360-10,4.2,29,33.46980286,126.92998505,https://mp-seoul-image-production-s3.mangoplate.com/704301_1499961447835475.jpg
전라상회,010-3669-5707,서울시 동작구 노량진동 13-8 노량진 수산물도매시장  1F 활어-047,4.2,19,37.51586907,126.94322122,https://mp-seoul-image-production-s3.mangoplate.com/949232_1573373621312367.jpg
온달수산,02-404-2606,서울시 송파구 가락동 600 농수산물도매시장,4.2,17,37.49394919,127.11660181,https://mp-seoul-image-production-s3.mangoplate.com/817437_1530875991704628.jpg
막내회집,02-755-5115,서울시 중구 남창동 50-48,4.2,18,37.55937981,126.97673486,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/555161_1467021068819774.jpg
당진수산,010-9905-5635,서울시 동작구 노량진동 13-6,4.2,12,37.51430615,126.94025466,https://mp-seoul-image-production-s3.mangoplate.com/12807_1568134355898876.jpg
수평선횟집,061-644-4120,전라남도 여수시 돌산읍 평사리 26,4.2,8,34.66187518,127.79372166,https://mp-seoul-image-production-s3.mangoplate.com/112555_1603684771108027.jpg
계정횟집,031-773-1556,경기도 양평군 양동면 계정리 744-3,4.2,8,37.46907573,127.77437598,https://mp-seoul-image-production-s3.mangoplate.com/142539/584391_1536391362580_58721
달맞이,010-2738-2108,서울시 강남구 논현동 144  1F,4.2,6,37.509817,127.0230786,https://mp-seoul-image-production-s3.mangoplate.com/390414/753280_1605259514962_4941
가람숙성대광어,02-883-7271,서울시 관악구 봉천동 851-29,4.2,5,37.4820934,126.953776,https://mp-seoul-image-production-s3.mangoplate.com/40495_1603696030432851.jpg
마라도횟집,064-746-2286,제주 제주시 연동 262-10,4.1,48,33.4867877,126.4894873,https://mp-seoul-image-production-s3.mangoplate.com/15368/780366_1543208977804_24905
삼삼횟집,051-753-7333,부산시 수영구 민락동 181-13 민락회센타 2F,4.1,16,35.1557005,129.1242296,https://mp-seoul-image-production-s3.mangoplate.com/9239_1565437308338876.jpg
만성횟집,033-631-3863,강원도 고성군 죽왕면 오호리 29-20,4.1,17,38.3272542,128.52779153,https://mp-seoul-image-production-s3.mangoplate.com/137816/788441_1556015867514_25839
선창횟집,051-747-7470,부산시 해운대구 중동 996-6,4.1,13,35.1568643,129.1738331,https://mp-seoul-image-production-s3.mangoplate.com/32429/1178603_1558803766865_316
독립문맛집,02-362-5659,서울시 서대문구 옥천동 72-2,4.1,8,37.570058,126.961808,https://mp-seoul-image-production-s3.mangoplate.com/460278_1569640747160489.jpg
만선식당,064-794-6300,제주 서귀포시 대정읍 하모리 770-50,4.0,70,33.2178484,126.24985801,https://mp-seoul-image-production-s3.mangoplate.com/586167_1506313178169685.jpg
퍼주는집,051-742-8838,부산시 해운대구 중동 1516-6,4.0,48,35.1609083,129.1734398,https://mp-seoul-image-production-s3.mangoplate.com/32504/777158_1536485249809_5013
남경미락,064-794-0055,제주 서귀포시 안덕면 사계리 2032-3,4.0,17,33.23019826,126.30900714,https://mp-seoul-image-production-s3.mangoplate.com/633038_1507186073499217.jpg
보물섬,02-540-3563,서울시 강남구 논현동 181-5,4.0,14,37.50765084,127.0265833,https://mp-seoul-image-production-s3.mangoplate.com/189438/c90i3e9at4vvhx.jpg
물항식당,064-755-2731,제주 제주시 건입동 1319-14,4.0,18,33.5169162,126.5290847,https://mp-seoul-image-production-s3.mangoplate.com/509505_1530086235384092.jpg
만원수산,02-6084-8184,서울시 서초구 서초동 1308-10  3F,4.0,6,37.5009917,127.0251242,https://mp-seoul-image-production-s3.mangoplate.com/386393/1002985_1572409857478_21222
자매수산,02-536-9292,서울시 서초구 서초동 1309-10 에이프로 스퀘어,4.0,9,37.50200272,127.02449036,https://mp-seoul-image-production-s3.mangoplate.com/962327_1545367393475259.jpg
이한진숙성회,,서울시 강동구 천호동 393-14,4.0,7,37.54263131,127.1311643,https://mp-seoul-image-production-s3.mangoplate.com/1618967_1583137915473427.jpg
피쉬스토리,02-3447-2067,서울시 강남구 신사동 661-18,3.9,53,37.5277484,127.0386217,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/639344_1491966962599646.jpg
진양횟집,033-635-9999,강원도 속초시 중앙동 478-98,3.9,25,38.2023136,128.5918541,https://mp-seoul-image-production-s3.mangoplate.com/31435_1534248607772046.jpg
우리바다수산,02-322-3489,서울시 마포구 성산동 649-5,3.9,31,37.55775452,126.90896606,https://mp-seoul-image-production-s3.mangoplate.com/572387_1552047847047633.jpg
동백섬횟집,051-741-3888,부산시 해운대구 우동 655-7,3.9,18,35.1604023,129.1546536,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/619788_1493820828488382.jpg
강남보물섬,02-566-3563,서울시 강남구 역삼동 736-19,3.9,21,37.49903151,127.03471354,https://mp-seoul-image-production-s3.mangoplate.com/1059060_1559102904593403.jpg
묵호횟집,02-779-4705,서울시 중구 북창동 82,3.9,11,37.56270599,126.97811127,https://mp-seoul-image-production-s3.mangoplate.com/960971_1519983968517560.jpg
물고기자리,031-266-5559,경기도 용인시 수지구 풍덕천동 703,3.9,9,37.32483612,127.09827591,https://mp-seoul-image-production-s3.mangoplate.com/325224/1204403_1546445487580_725
일성수산,02-814-6337,서울시 동작구 노량진동 13-8,3.9,11,37.51586907,126.94322122,https://mp-seoul-image-production-s3.mangoplate.com/1123606_1575733785463281.jpg
오복수산시장,010-9450-4800,서울시 마포구 연남동 226-29,3.8,15,37.5627486,126.9268608,https://mp-seoul-image-production-s3.mangoplate.com/581687_1556977240893690.jpg
남해바다,02-707-3101,서울시 마포구 도화동 536 정우상가 1F,3.8,15,37.5426026,126.94722059,https://mp-seoul-image-production-s3.mangoplate.com/27597_1596238632738992.jpg
바다나라,010-9184-4204,서울시 송파구 가락동 600 농수산물도매시장,3.8,11,37.49337081,127.1163111,https://mp-seoul-image-production-s3.mangoplate.com/321293/umsjxzpwt0flu9.jpg
한라산,02-511-4890,서울시 강남구 청담동 100,3.8,13,37.52712465,127.04577715,https://mp-seoul-image-production-s3.mangoplate.com/284926/1476505_1600954362103_56813
바다횟집,042-823-5011,대전시 유성구 상대동 471-3,3.8,4,36.3467283,127.3393224,https://mp-seoul-image-production-s3.mangoplate.com/47875_1605325840429641.jpg
우정회센터,064-732-0303,제주 서귀포시 서귀동 277-1,3.7,32,33.25034268,126.56330532,https://mp-seoul-image-production-s3.mangoplate.com/460278_1572226750958662.jpg
용출횟집,064-742-9244,제주 제주시 용담삼동 505,3.7,19,33.51627336,126.5075047,https://mp-seoul-image-production-s3.mangoplate.com/819575_1519304097078041.jpg
부촌육회,02-2267-1831,서울시 종로구 종로4가 165-11,4.7,141,37.57037735,126.9999313,https://mp-seoul-image-production-s3.mangoplate.com/673960_1601987843916079.jpg
오레노라멘,02-322-3539,서울시 마포구 합정동 361-1,4.6,445,37.5474778,126.9173149,https://mp-seoul-image-production-s3.mangoplate.com/801050_1576955794677249.jpg
소이연남마오,02-545-5130,서울시 강남구 신사동 665-9,4.6,45,37.5251746,127.0389479,https://mp-seoul-image-production-s3.mangoplate.com/722502_1599345702894801.jpg
우육면관,070-4213-5678,서울시 종로구 관철동 11-11,4.6,46,37.5685552,126.986183,https://mp-seoul-image-production-s3.mangoplate.com/460278_1594714719166668.jpg
진미평양냉면,02-515-3469,서울시 강남구 논현동 115-10,4.5,249,37.516167,127.0360524,https://mp-seoul-image-production-s3.mangoplate.com/259480/259007_1604641244603_7175
광화문국밥,02-738-5688,서울시 중구 정동 1-48,4.5,84,37.5689446,126.9755297,https://mp-seoul-image-production-s3.mangoplate.com/1356792_1578902373031547.jpg
팩피,02-6052-7595,서울시 성동구 성수동1가 656-947  102호,4.4,124,37.5497824,127.0445833,https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/342123/1146217_1600757204991
정인면옥,02-2683-2615,서울시 영등포구 여의도동 13-1,4.4,156,37.5306858,126.9216203,https://mp-seoul-image-production-s3.mangoplate.com/584169_1600190909011361.jpg
봉피양,02-415-5527,서울시 송파구 방이동 205-8 벽제갈비,4.4,136,37.5100068,127.1261936,https://mp-seoul-image-production-s3.mangoplate.com/801050_1560934955823502.jpg
옥동식,02-6012-9915,서울시 마포구 서교동 385-6,4.3,208,37.552657,126.9145105,https://mp-seoul-image-production-s3.mangoplate.com/1515134_1600786276319655.jpg
우래옥,02-2265-0151,서울시 중구 주교동 118-1,4.3,388,37.5681487,126.99866195,https://mp-seoul-image-production-s3.mangoplate.com/693360_1565761111502254.jpg
백년옥 ,02-523-2860,서울시 서초구 서초동 1450-6,4.3,200,37.4811865,127.0137938,https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/468/229998_1600661631964
임병주산동칼국수,02-3473-7972,서울시 서초구 서초동 1365,4.3,202,37.484573,127.0300534,https://mp-seoul-image-production-s3.mangoplate.com/621023_1599921657538246.jpg
봉산옥,02-525-2282,서울시 서초구 서초동 1451-8 조강빌딩,4.3,96,37.48336467,127.01241849,https://mp-seoul-image-production-s3.mangoplate.com/57950_1597848411641501.jpg
하동관,02-776-5656,서울시 중구 명동1가 10-4,4.3,224,37.56444276,126.98494084,https://mp-seoul-image-production-s3.mangoplate.com/1515134_1605345131446301.jpg
교다이야,02-2654-2645,서울시 마포구 합정동 370-8,4.3,166,37.54684796,126.91321959,https://mp-seoul-image-production-s3.mangoplate.com/1783894_1599813266830939.jpg
교양식사,02-795-4040,서울시 용산구 한남동 683-134,4.3,31,37.5359734,126.9999808,https://mp-seoul-image-production-s3.mangoplate.com/341028/54303_1543926207872_27493
미미면가,070-4211-5466,서울시 강남구 신사동 521-16,4.2,304,37.5200786,127.0211143,https://mp-seoul-image-production-s3.mangoplate.com/13153/1199904_1601119929120_37583
이나니와요스케,02-772-9994,서울시 중구 을지로1가 192-11,4.2,160,37.56544883,126.97908416,https://mp-seoul-image-production-s3.mangoplate.com/52544_1601953944467660.jpg
금돼지식당,010-4484-8750,서울시 중구 신당동 370-69,4.2,142,37.5570978,127.0116934,https://mp-seoul-image-production-s3.mangoplate.com/256621/1178603_1601734401816_282152
구복만두,02-797-8656,서울시 용산구 남영동 3-4,4.2,166,37.5451045,126.973248,https://mp-seoul-image-production-s3.mangoplate.com/224829/259007_1589096239320_5416
만두집,02-544-3710,서울시 강남구 신사동 661-1,4.2,51,37.52802906,127.03886717,https://mp-seoul-image-production-s3.mangoplate.com/442/1611496_1604817034674_14464
야키토리묵,	070-8835-3433,서울시 마포구 연남동 223-102  1F,4.2,31,37.5646645,126.9245863,https://mp-seoul-image-production-s3.mangoplate.com/407291_1597498784100072.jpg
황생가칼국수,02-739-6334,서울시 종로구 소격동 84,4.1,142,37.5801003,126.9806464,https://mp-seoul-image-production-s3.mangoplate.com/1712/638412_1596278272469_3535
툭툭누들타이,070-4407-5130,서울시 마포구 연남동 223-15  1F,4.1,318,37.5651452,126.924047,https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/10078/1146217_1600140605597
진진,070-5035-8878,서울시 마포구 서교동 469-67  1F,4.1,80,37.5577826,126.9132685,https://mp-seoul-image-production-s3.mangoplate.com/192651/1146217_1600004871794_31930
피양콩할마니,02-508-0476,서울시 강남구 대치동 894-14,4.1,83,37.5041358,127.0552574,https://mp-seoul-image-production-s3.mangoplate.com/1690/26737_1599487197679_16656
삼청동수제비,02-735-2965,서울시 종로구 삼청동 99,4.1,240,37.5845304,126.9818798,https://mp-seoul-image-production-s3.mangoplate.com/10580/770634_1600929355064_6900
합정옥,02-322-4822,서울시 마포구 합정동 392-3  2F,4.1,43,37.5495526,126.910527,https://mp-seoul-image-production-s3.mangoplate.com/325307/90579_1512747103325_231900
현우동,02-515-3622,서울시 강남구 논현동 11-1,4.1,24,37.517006,127.024293,https://mp-seoul-image-production-s3.mangoplate.com/1675653_1588889439058238.jpg
필동면옥,02-2266-2611,서울시 중구 필동3가 1-5,4.0,214,37.5603862,126.9969191,https://mp-seoul-image-production-s3.mangoplate.com/1695/897636_1602849478136_34642
명동교자,02-776-5348,서울시 중구 명동2가 25-2,4.0,579,37.56254221,126.98557911,https://mp-seoul-image-production-s3.mangoplate.com/1515134_1599110596836853.jpg
자하손만두,02-379-2648,서울시 종로구 부암동 245-2,4.0,181,37.5931385,126.9660218,https://mp-seoul-image-production-s3.mangoplate.com/495395_1601530769052876.jpg
정육면체,070-4179-3819,서울시 서대문구 창천동 62-18  1F,4.0,137,37.5568428,126.9345966,https://mp-seoul-image-production-s3.mangoplate.com/1256546_1595612840324318.jpg
스바루,02-596-4882,서울시 서초구 방배동 790-1,4.0,53,37.4925274,126.9861651,https://mp-seoul-image-production-s3.mangoplate.com/1530/930808_1562319982634_20698
어메이징타이,02-796-7377,서울시 용산구 한남동 683-134  3F,3.9,101,37.53592939,126.99983179,https://mp-seoul-image-production-s3.mangoplate.com/14655/698672_1536670795338_258044
대성집,02-735-4259,서울시 종로구 행촌동 209-35,3.9,39,37.5727295,126.9609396,https://mp-seoul-image-production-s3.mangoplate.com/1343/1611877_1583900012407_5065
이문설농탕,02-733-6526,서울시 종로구 견지동 88,3.9,61,37.5726342,126.9838923,https://mp-seoul-image-production-s3.mangoplate.com/1515134_1589516422369295.jpg
세미계,02-792-2155,서울시 용산구 한남동 653-95,3.9,34,37.53344773,127.0018374,https://mp-seoul-image-production-s3.mangoplate.com/241809/1478252_1574830023503_10882
금산제면소,,서울시 중구 회현동2가 31-1,3.9,70,37.5586247,126.983733,https://mp-seoul-image-production-s3.mangoplate.com/516849_1597397884148583.jpg
한국술집안씨막걸리,010-9965-5112,서울시 용산구 이태원동 658 아름누리빌딩,3.9,26,37.5385843,126.9874077,https://mp-seoul-image-production-s3.mangoplate.com/186642/599586_1520431413117_18782
황금콩밭,02-313-2952,서울시 마포구 아현동 424-11,3.9,27,37.5509597,126.9567133,https://mp-seoul-image-production-s3.mangoplate.com/35947_1602305298401678.jpg
일호식,02-794-2648,서울시 용산구 한남동 657-128 사운즈한남,3.8,103,37.5337637,127.0021488,https://mp-seoul-image-production-s3.mangoplate.com/1294033_1587229957498889.jpg
충무로쭈꾸미불고기,02-2279-0803,서울시 중구 필동1가 3-20,3.8,58,37.5617693,126.9921966,https://mp-seoul-image-production-s3.mangoplate.com/12888/jcwrod-9qrqevo.jpg
유림면,02-755-0659,서울시 중구 서소문동 16,3.8,79,37.5642593,126.9761097,https://mp-seoul-image-production-s3.mangoplate.com/1035197_1589690154475023.jpg
게방식당,010-8479-1107,서울시 강남구 논현동 118-20  1F,3.8,25,37.5173001,127.0394566,https://mp-seoul-image-production-s3.mangoplate.com/32525_1584930424210754.jpg
산동교자관,02-514-2608,서울시 강남구 신사동 615,3.8,32,37.52807819,127.03068845,https://mp-seoul-image-production-s3.mangoplate.com/877/1227868_1594639167631_11035
미진,02-730-6198,서울시 종로구 종로1가 24 르메이에르종로타운 1F,3.7,181,37.57111948,126.98009134,https://mp-seoul-image-production-s3.mangoplate.com/408471_1603628064765434.jpg
역전회관,02-703-0019,서울시 마포구 염리동 173-21,3.7,50,37.542937,126.9469931,https://mp-seoul-image-production-s3.mangoplate.com/673960_1586696893078850.jpg
양양메밀막국수,02-3482-3738,서울시 서초구 방배동 793-1 광원빌딩,3.7,29,37.49249649,126.98829651,https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/78618/894765_1568640098777
보타보타,031-998-2690,경기도 김포시 고촌읍 전호리 641 MK빌딩,4.1,16,37.6013598,126.7899388,https://mp-seoul-image-production-s3.mangoplate.com/27066_1596810538178324.jpg
