,name,address,tel,score,count_evaluation,star
20,브라더후드키친,서울특별시 강남구 역삼동 810-13,02-539-1230,74점,35,3.7
21,수타우동 겐,서울특별시 서초구 서초동 1690-3,02-599-5545,35점,10,3.1
22,우정떡볶이,서울특별시 중구 신당1동 304-791,02-2233-0669,59점,3,4.3
23,토마,서울특별시 마포구 연남동 568-26,02-332-8064,50점,5,4.6
24,부타이 제2막,서울시 중구 을지로3가 296-26,02-2273-1238,51점,8,3.9
25,폽스,서울특별시 성동구 행당동 3-10 지하 1층,02-6401-2232,51점,6,4.3
26,가메골 손만두,서울특별시 중구 남창동 60-2,02-755-2569,67점,14,4.3
27,파오파오,서울특별시 송파구 잠실본동 205-16,02-412-9198,71점,21,4.4
28,피자랑,서울특별시 서대문구 북아현동 130-3,02-363-6323,12점,평가자 없음,Nan
29,피아띠,서울시 강서구 화곡동 343-5,02-2654-3295,17점,2,2.9
30,그릴1492,서울특별시 중구 황학동 2492,02-2233-1492,38점,7,3.6
31,거북선아구찜,서울특별시 동대문구 용두동 39-975,02-957-3383,23점,1,5.0
32,봄날오다,서울시 구로구 구로동 188-5 키콕스벤처센터 지하1층,02-6351-3300,23점,1,4.0
33,국수나무 아현점,서울시 마포구 아현동 622-1,02-363-0401,21점,1,4.0
34,기절초풍물닭갈비,서울특별시 광진구 자양1동 617-25,02-444-9222,25점,1,4.0
35,우장군곱창,서울특별시 강서구 화곡동 929-4,02-2690-9701,17점,평가자 없음,Nan
36,북창동순두부 신도림점,서울특별시 구로구 신도림동 337,02-3439-7783,25점,2,3.5
37,예랑,서울특별시 양천구 신정동 1190-16,02-2605-4533,12점,평가자 없음,Nan
38,비어킹,서울특별시 광진구 구의동212-29,02-455-7782,19점,3,3.3
39,구이구이,서울특별시 중구 을지로1가 192-11,02-783-9292,55점,4,4.3
40,킹수제만두,서울특별시 동대문구 신설동 80-4,02-926-0288,54점,13,3.9
41,투피스,서울특별시 중구 을지로5가 76-1,정보없음,45점,1,5.0
42,맵당,서울특별시 성동구 행당동 4-33 2층,02-2292-7292,50점,5,3.8
43,왕빈자전통주막,서울특별시 중구 중림동 1154,02-312-0313,20점,1,4.0
44,너와집 서초점,서울특별시 서초구 서초동 1573-14 웅진타워 1층,02-523-8107,36점,2,4.1
45,옥이네먹거리,서울특별시 중구 황학동 725,010-6656-3551,15점,평가자 없음,Nan
46,던킨도너츠 르네상스점,서울특별시 강남구 역삼동 706,02-508-3239,32점,2,4.0
47,아딸,서울특별시 송파구 신천동 17-4,02-2243-2003,Nan,평가자 없음,Nan
48,빈브라더스,서울특별시 강남구 역삼동 819-1,02-568-8192,59점,10,4.0
49,미니네,서울특별시 중구 신당1동 292-141,02-2232-4425,22점,3,3.7
50,별시루,서울특별시 마포구 아현동 327-36,02-3273-7770,12점,평가자 없음,Nan
51,뽀빠이분식,서울시 송파구 신천동 7 (장미상가 B동 B51호),02-416-7235,29점,5,3.3
52,청마루한우숯불갈비,서울특별시 동대문구 용두동,02-957-8282,Nan,평가자 없음,Nan
53,청담옥,서울특별시 강남구 도곡동 542-6 1층,02-529-8982,44점,5,4.1
54,엠브로시아,서울특별시 광진구 구의3동 546-4,02-3424-1122,14점,평가자 없음,Nan
55,홋카이도 부타동 스미레,서울특별시 서대문구 창천동 5-32,010-6570-1115,39점,3,5.0
56,더스푼,서울특별시 광진구 자양1동 630-24,02-454-4176,23점,1,5.0
57,송옥,서울시 중구 남대문로4가 17-40,02-752-3297,64점,10,4.3
58,소운빙,서울특별시 양천구 신정7동 323-10,02-2642-6540,12점,평가자 없음,Nan
59,제주도야지판,서울특별시 송파구 신천동 7-7,02-420-1117,12점,평가자 없음,Nan
60,신포우리만두,서울특별시 송파구 잠실동 176-6,02-419-1971,22점,1,5.0
61,마호가니커피 타임스퀘어점,서울특별시 영등포구 영등포동4가 442 타임스퀘어 3층,02-2633-8880,52점,13,3.8
62,미러볼 밥술상,서울특별시 양천구 신정1동 1028-25,010-9188-8923,30점,2,4.3
63,투썸플레이스 제일제당사옥점,서울특별시 중구 쌍림동 292,02-2272-2388,23점,1,5.0
64,함흥냉면,서울특별시 서대문구 충정로3가 63-1,02-364-9293,12점,평가자 없음,Nan
65,서울갈비,서울특별시 관악구 신림동 1410-17,02-885-7610,45점,6,4.0
66,티앙팡,서울시 서대문구 대현동 54-28,02-364-4196,57점,10,4.0
67,아이러브케익,서울특별시 성동구 마장동,02-442-1126,Nan,평가자 없음,Nan
68,토속촌생면칼국수,서울특별시 강서구 화곡8동 340-39,02-2602-6011,31점,2,4.8
69,하노이102,서울특별시 성동구 성수동1가 668-18,02-469-5101,61점,11,4.0
70,부산갈비,서울특별시 중구 오장동 69-6,02-2279-5821,24점,평가자 없음,Nan
71,화포식당,서울특별시 성동구 행당동 4-34,02-2299-4239,23점,1,5.0
72,스타벅스 아크플레이스점,서울특별시 강남구 역삼동 736-1 한솔빌딩 2층,1522-3232,41점,4,4.6
73,라이프커피컴퍼니,서울특별시 서대문구 대현동 53-10,010-2704-9986,24점,1,5.0
74,춘자싸롱,서울특별시 구로구 구로동 1124-59,02-869-4873,54점,6,3.8
75,테라로사 포스코센터점,서울특별시 강남구 대치동 892 포스코센터 1층,정보없음,63점,14,4.3
76,부타카레,서울특별시 송파구 신천동 7,정보없음,Nan,평가자 없음,Nan
77,라임,서울특별시 서대문구 창천동 13-4 2층,02-392-2506,50점,5,4.4
78,치킨처럼 아현점,서울특별시 마포구 아현동 275-1,02-6104-9250,13점,평가자 없음,Nan
79,화상손만두,서울특별시 관악구 봉천동 1631-6,02-3285-8842,30점,2,5.0
80,오라이숯불닭갈비,서울특별시 서초구 방배동 924-19,02-523-5600,14점,평가자 없음,Nan
81,교다이야,서울특별시 마포구 합정동 370-8,02-2654-2645,72점,29,3.4
82,삼미옥,서울시 관악구 행운동 852-6,02-889-9327,53점,5,3.3
83,로터리식탁,서울특별시 종로구 숭인동 1136,070-8860-4804,17점,1,0.0
84,풍년닭도리탕,서울특별시 중구 북창동 18-7,02-755-5278,68점,10,4.2
85,구루메라멘,서울특별시 구로구 구로동 3-25,정보없음,29점,2,4.6
86,아재식당,서울시 영등포구 문래동6가 19,02-2676-0619,33점,2,4.5
87,성수속 향연,서울특별시 성동구 성수동2가 309-148,02-463-0753,38점,4,5.0
88,젠젠 잠실점,서울특별시 송파구 송파동 56-1,02-412-7240,52점,10,4.2
89,스프링타임,서울시 중구 중림동 355 브라운스톤 203-1호,02-313-8959,14점,평가자 없음,Nan
90,알베르,서울특별시 강남구 역삼동 618-11,02-566-6181,76점,37,3.7
91,스시마이우,서울특별시 강남구 역삼동 697-45,02-539-8881,34점,3,3.4
92,시트론오피스,서울특별시 관악구 봉천동 1612-51,02-878-0407,47점,7,4.2
93,웨이하이,서울특별시 성동구 성수동2가 301-18,02-6053-7553,39점,6,4.1
94,더식당,서울특별시 중구 명동2가 31-4 2층,02-318-2234,63점,12,3.8
95,주택가,서울특별시 송파구 잠실동 200-5 1층,010-4939-9529,32점,2,4.0
96,남고집 신림점,서울특별시 관악구 신림동 1422-22,070-8802-8592,49점,4,4.3
97,노랑통닭 교대점,서울특별시 서초구 서초동 1573-10,02-523-8292,32점,4,4.4
98,카이테이블,서울특별시 성동구 행당동 155-1 파크애비뉴 엔터식스 지하2층 공연장 옆,02-6454-6277,16점,2,3.0
99,한방통닭구이,서울특별시 중구 신당동 141-11,02-2232-5592,27점,2,4.5
100,은행골,서울특별시 관악구 조원동 1654-27,02-859-4988,61점,22,3.9
101,해천양꼬치구이,서울특별시 양천구 신정동 1031-24,02-2647-6779,12점,평가자 없음,Nan
102,준초밥&참치,서울특별시 구로구 구로동 107-1 대림역대성스카이렉스,02-858-9551,24점,1,5.0
103,광,서울특별시 영등포구 당산동6가 339-1,010-9085-9073,26점,1,5.0
104,카레시,서울특별시 마포구 서교동 396-51,010-9564-6363,53점,11,4.1
105,코코이찌방야 건대스타시티점,서울특별시 광진구 자양동 227-7,02-2024-8855,39점,4,4.0
106,황태골쭈꾸미,서울특별시 성동구 성수1가1동 656-320,02-467-7797,36점,5,3.9
107,은화계,서울시 중구 신당동 248-2,02-2233-9992,52점,10,4.4
108,울돌목주먹고기,서울시 광진구 구의1동 246-98,02-467-6484,24점,2,5.0
109,장가네 멸치쌈밥,서울시 관악구 봉천동 883-11,02-3285-2550,15점,1,0.0
110,참이맛감자탕,서울특별시 양천구 신정동 1182-6,02-2601-1198,12점,평가자 없음,Nan
111,252샤브,서울특별시 광진구 구의동 252-42,02-455-8835,14점,1,0.0
112,스타벅스 신촌점,"서울특별시 서대문구 창천동 18-55 즐거운빌딩 1, 2, 3층",02-758-8035,40점,6,3.8
113,카페올리브,서울특별시 동대문구 용두동 40-11,02-962-0201,Nan,평가자 없음,Nan
114,훅트포케,서울특별시 중구 을지로2가 101-30,070-7757-0976,48점,6,4.6
115,오장숯불갈비,서울시 중구 오장동 69-5,02-2267-9328,12점,평가자 없음,Nan
116,잠수교집 성수점,서울특별시 성동구 성수동2가 277-156,02-465-0434,49점,4,4.2
117,와플덴,서울특별시 서대문구 대현동 33-15,010-3749-1349,24점,2,5.0
118,와우,서울특별시 마포구 아현동 345-13,02-312-0840,12점,평가자 없음,Nan
119,화심,서울특별시 송파구 잠실동 186-11,010-6219-9255,38점,2,5.0
120,닭내장탕집,서울특별시 성동구 도선동 342,02-2295-9535,23점,2,4.2
121,테일러커피,서울특별시 마포구 서교동 329-15,02-335-0355,64점,11,4.6
122,김밥잔치,서울 서초구 방배동 984-1,02-525-8956,19점,1,4.0
123,명가옛날통닭 답십리점,서울특별시 동대문구 답십리동 494-1,02-3394-4995,Nan,평가자 없음,5.0
124,복돈우리,서울특별시 동대문구 신설동 81-128,02-2214-2520,13점,평가자 없음,Nan
125,하얀집,서울특별시 중구 신당5동 151-3,02-2234-5227,14점,평가자 없음,Nan
126,카페 솔트,서울특별시 영등포구 문래동2가 43-5,010-8859-1540,43점,4,4.3
127,뽀끼살롱,서울특별시 구로구 구로동 212-8,010-5302-8758,30점,2,4.6
128,빈티지 라이언,서울특별시 중구 산림동 207-2 세운대림상가3층 라열 356호,02-2269-3691,13점,1,3.0
129,지금 여기가 맨 앞,서울 중구 인현동1가 15-15 3층,010-4108-3759,Nan,평가자 없음,Nan
130,정심샵,서울특별시 송파구 신천동 7,010-7600-2469,22점,2,5.0
131,투썸플레이스,서울특별시 광진구 구의동 546-1,02-456-9454,20점,1,4.0
132,마하차이,서울특별시 성동구 성수동2가 339-22,02-468-5678,51점,6,4.5
133,얼맥당 문래점,서울 영등포구 문래동6가 34-1,010-4535-3230,20점,1,4.0
134,아롱별식탁,서울시 관악구 신림동 1417-45,02-830-1233,25점,2,4.0
135,한양왕족발,서울시 서초구 방배 2동 450-23,02-523-3006,45점,3,4.1
136,삿뽀,서울시 영등포구 당산동4가 93-1 TCC센터 4F,02-2634-6667,24점,2,4.0
137,장안순대국밥,서울특별시 동대문구 답십리동 530-16,02-2217-1765,14점,평가자 없음,Nan
138,펠리치따,서울특별시 관악구 봉천동 1659-3,02-883-6556,25점,1,5.0
139,흥부부대찌개,서울특별시 영등포구 당산동3가 133,02-2633-4925,40점,3,4.3
140,와플 루이,서울시 종로구 동숭동 1-87 2F,02-745-5413,20점,평가자 없음,Nan
141,B Coffee,서울특별시 중구 방산동 146,02-2285-0146,13점,평가자 없음,Nan
142,시골집,서울시 관악구 낙성대동 1625-5,02-874-7333,52점,4,4.8
143,스아게K,서울특별시 마포구 서교동 334-23,02-336-1029,48점,7,4.1
144,컨템포,서울특별시 성동구 성수동2가 301-72,02-6956-8985,29점,2,4.0
145,인생맛집,서울특별시 구로구 구로동 197-28 이엔씨벤처드림타워 6차 202호,02-801-8686,32점,2,5.0
146,설동욱국물닭발,서울특별시 송파구 삼전동 47,02-412-6934,26점,1,4.0
147,껍데기집,서울특별시 성동구 도선동 63,02-2292-3342,34점,2,4.0
148,클래직,서울특별시 중구 인현동2가 99-16,010-7226-4076,51점,8,4.5
149,데미그라스,서울특별시 영등포구 당산동3가 396-21,02-2637-0087,30점,2,4.0
150,고고기,서울특별시 광진구 구의동 212-3,02-454-0092,61점,9,4.1
151,나드리식품,서울 중구 주교동 208,02-2274-4697,Nan,평가자 없음,Nan
152,소담소담,서울 광진구 구의동 251-54,02-452-6013,27점,1,5.0
153,마시타야,서울특별시 마포구 서교동 333-16,070-8119-5715,51점,5,4.7
154,장블랑제리,서울시 관악구 낙성대동 1660-7,02-889-5170,73점,37,4.1
155,오복순대국,서울특별시 영등포구 문래동4가 6-5,02-2677-4183,51점,9,3.6
156,호치킨 신대방점,서울특별시 동작구 신대방동 691-26,02-847-4959,23점,1,5.0
157,누들박스,서울특별시 송파구 신천동 11-4,02-424-8952,Nan,평가자 없음,Nan
158,개미식당,서울특별시 양천구 신정4동 969-19,02-2697-7298,Nan,평가자 없음,Nan
159,오트렉,서울 중구 인현동2가 192-19 3층,02-2276-1921,Nan,평가자 없음,Nan
160,츠루츠루 라멘,서울시 관악구 봉천동 913-1,010-7774-9299,24점,1,4.0
161,빛고을 으뜸추어탕,서울특별시 서초구 서초동 1697-15,02-537-0156,27점,2,4.0
162,완차이,서울시 서대문구 창천동 5-35,02-392-0302,45점,7,4.5
163,닭한마리,서울특별시 강서구 화곡1동 905-10,02-2699-8383,Nan,평가자 없음,Nan
164,맥주창고 비어앤포테이토,서울특별시 송파구 잠실동 186-7,010-9133-5624,25점,2,4.6
165,쓰리도어즈,서울특별시 중구 수표동 56-5,02-2274-1318,43점,3,4.3
166,허유산,서울특별시 구로구 신도림동 692,02-2210-9658,30점,1,4.0
167,토라식당,서울특별시 성동구 성수동1가 14-47,02-6012-7690,51점,8,4.3
168,호시라멘,서울특별시 서초구 방배동 436-28,02-525-2042,47점,7,4.3
169,미구,서울특별시 서초구 방배동 451-9,02-586-4069,48점,3,4.6
170,왕뼈감자탕 고척점,서울특별시 구로구 고척동 329,02-2683-0071,16점,2,4.1
171,진만두,서울특별시 마포구 서교동 327-22,02-338-1117,69점,11,4.7
172,꼬꼬아찌숯불치킨,서울특별시 성동구 행당동 4-4,02-2293-8567,58점,13,3.9
173,쿤쏨차이,서울특별시 서초구 서초동 1698-7 1F,02-596-6411,31점,6,3.8
174,테이크샵일다시일,서울특별시 송파구 신천동 7,010-9665-7077,Nan,평가자 없음,Nan
175,선율,서울특별시 서초구 서초동 1717-1,02-535-5295,13점,평가자 없음,Nan
176,부산회집,서울특별시 송파구 신천동 11,02-418-4624,12점,평가자 없음,Nan
177,압구정봉구비어,서울특별시 서초구 방배동 924-6,02-584-8242,13점,평가자 없음,Nan
178,홀짝집,서울특별시 송파구 잠실동 187-19,070-8884-8845,55점,5,4.3
179,맷돌로만 자양점,서울특별시 광진구 자양동 767-4,02-593-1233,25점,2,3.5
180,문어부인삼교비,서울특별시 구로구 신도림동 337,02-3439-7892,59점,11,4.0
181,카페 일리터,서울특별시 성동구 행당동 232-1 1층,02-2291-1011,22점,1,4.0
182,미아논나,서울 성동구 성수동2가 302-8 블루스톤타워 1041호,02-2054-0111,50점,4,4.4
183,나일롱부엌,서울특별시 마포구 합정동 393-20,010-8382-8551,51점,9,3.9
184,맛닭꼬,서울특별시 구로구 구로동 571-16,02-859-3392,14점,평가자 없음,Nan
185,박가네소금구이,서울특별시 강서구 화곡1동 928-7,02-6085-0958,Nan,평가자 없음,Nan
186,제주은희네해장국 선릉직영점,서울특별시 강남구 삼성동 143-30,02-558-0831,54점,9,3.9
187,스마일꽈배기,서울특별시 관악구 봉천동 914-18,010-9196-5137,31점,2,5.0
188,의정부실비부대볶음,서울특별시 송파구 잠실동 189-15,02-422-5152,20점,1,5.0
189,연안식당,서울특별시 서초구 서초동 1542-10,02-332-6092,22점,1,4.0
190,가마솥김밥,서울특별시 마포구 아현동 774,02-365-1681,13점,평가자 없음,Nan
191,아트몬스터 성수점,서울특별시 성동구 성수동2가 300-15,02-465-6110,35점,5,3.6
192,대낚식당,서울시 강남구 역삼동 751-17,02-558-5561,52점,11,3.7
193,합정뒷고기,서울특별시 마포구 합정동 388-29,02-3144-7254,54점,4,4.0
194,금강회수산,서울 동작구 신대방1동 607-5,010-3137-4275,21점,1,4.0
195,해바라기,서울특별시 영등포구 당산동4가 32-56,02-2633-5878,28점,1,4.0
196,고베규카츠,서울특별시 관악구 신림동 1639-27,02-875-8988,52점,3,4.3
197,라멘쨩,서울특별시 송파구 신천동 7,02-412-6745,25점,1,5.0
198,재주식탁,서울특별시 성동구 성수동1가 31-17,02-498-0984,66점,9,4.6
199,소풍가는날,서울특별시 관악구 봉천동 1657-21,02-876-7792,49점,9,4.9
200,탕화쿵푸,서울특별시 성동구 사근동 210-19,010-8191-2722,16점,1,5.0
201,새마을식당,서울특별시 성동구 도선동 150,02-2281-2122,43점,6,4.1
202,반장즉석떡볶이 구로디지털점,서울시 구로구 구로동 811,02-862-5662,23점,1,5.0
203,가조고향마을,서울시 서초구 서초3동 1552-16,02-584-0199,12점,평가자 없음,Nan
204,매운갈비찜,서울특별시 강서구 화곡동 913-6,02-2691-4317,13점,평가자 없음,Nan
205,약초마을,서울특별시 구로구 구로동 97-2,02-855-9002,13점,평가자 없음,Nan
206,싸움의 고수 한양대점,서울특별시 성동구 행당동 6-2,02-2296-1241,20점,4,3.5
207,골목길,서울특별시 구로구 구로동 1124-65,02-859-9294,31점,2,5.0
208,안동,서울시 서초구 서초동 1706-12,02-533-3546,12점,평가자 없음,Nan
209,홍대돈부리 타임스퀘어점,서울특별시 영등포구 영등포동4가 442 타임스퀘어 지하2층 B208,02-2638-2384,53점,4,3.7
210,풀잎채,서울특별시 서초구 방배동 444-3,02-583-6638,35점,2,4.0
211,제치식당 (웍스나인),서울특별시 마포구 서교동 346-32,02-336-2997,52점,5,4.1
212,김돈이,서울시 강남구 삼성동 140-29,02-558-5256,65점,8,4.3
213,감성수작더보스에이엠,서울특별시 강남구 역삼동 640-17 지하1층,0507-1303-8016,33점,2,4.5
214,물뛴다,서울시 서대문구 충정로 3가 3-12,02-392-4200,20점,1,4.0
215,텐동 요츠야,서울특별시 관악구 봉천동 1603-19,02-883-7974,79점,48,4.3
216,모모스테이크 건대점,서울특별시 광진구 화양동 3-43,02-466-8048,54점,7,3.1
217,테이스티마켓,서울특별시 구로구 구로동 188-25,02-6344-3980,23점,2,3.5
218,라밥 방배점,서울 서초구 방배동 911-25,02-583-1161,13점,1,3.0
219,청송 산오징어,서울시 관악구 남현동 1065-1,02-584-5286,66점,13,4.3
220,막걸리카페 잡,서울특별시 관악구 봉천동 1603-15 지하 1층,02-6403-4424,46점,5,4.5
221,타코비,서울특별시 송파구 잠실동 184-9,070-4153-5280,44점,5,4.2
222,명불허전 원조골뱅이,서울특별시 강남구 대치동 900-11,02-561-0908,48점,7,4.2
223,60년전통 신촌황소곱창,서울특별시 강남구 대치동 896-18,02-553-6698,48점,2,4.3
224,롯데리아,서울특별시 서대문구 북아현동,02-392-9293,13점,1,3.0
225,동대문 엽기떡볶이,서울특별시 양천구 신정동 1030-2,050-4307-7964,15점,1,4.0
226,한스델리,서울특별시 양천구 신정3동 1190-6,02-2601-5210,12점,평가자 없음,Nan
227,매드포갈릭,서울시 송파구 신천동 29 제2롯데월드 롯데시네마 7층,02-3213-3044,61점,16,3.7
228,제레미20,서울 서초구 서초동 1498-5,02-3473-2120,Nan,평가자 없음,Nan
229,랜돌프 비어 송파,서울특별시 송파구 잠실동 208 2층,02-421-1986,31점,2,5.0
230,우에노421,서울특별시 성동구 하왕십리동 1015-7,02-2299-5596,26점,3,3.9
231,봉평막국수,서울특별시 양천구 신정4동 943-20,02-2697-9936,21점,1,4.0
232,김영희강남동태찜 본점,서울특별시 송파구 잠실동 252-8,02-422-5008,42점,5,4.2
233,돈수백 합정직영점,서울특별시 마포구 서교동 396-32,02-3144-3104,52점,6,3.5
234,올래밥상,서울특별시 양천구 신정동 325-1,02-2649-8292,12점,평가자 없음,Nan
235,봄봄,서울특별시 성동구 성수동2가 302-4,02-460-8875,37점,2,4.0
236,메이징에이,서울특별시 중구 태평로1가 84 파이낸스빌딩 지하2층,02-3783-0600,51점,1,4.0
237,오목집,서울특별시 구로구 신도림동 337,02-2677-1636,20점,2,4.0
238,동태야,서울특별시 영등포구 문래동6가 43,02-2631-8845,Nan,평가자 없음,Nan
239,원조 양평신내서울해장국 강서양천직영점,서울특별시 강서구 화곡동 888-9,02-2699-9876,58점,13,4.1
240,전설의짬뽕 서울숲점,서울특별시 성동구 성수동1가 656-1076,02-464-0888,33점,6,3.4
241,동해도 광화문점,서울특별시 중구 무교동 7,02-757-1222,46점,5,3.2
242,이재원목동피자,서울특별시 양천구 신정동 324-10,02-2652-0815,12점,평가자 없음,Nan
243,곱창싸롱,서울특별시 강남구 역삼동 677-1,02-569-5444,31점,평가자 없음,Nan
244,현미고기집,서울특별시 동작구 신대방1동 591-13,02-845-3302,13점,평가자 없음,Nan
245,스시카이,서울특별시 서초구 서초동 1557-3,02-588-6338,14점,평가자 없음,Nan
246,키친485,서울특별시 마포구 서교동 399-24,02-325-0485,62점,7,4.1
247,초대창 잠실새내점,서울시 송파구 잠실동 192-13,010-4635-0005,20점,1,4.0
248,낙원양꼬치,서울특별시 관악구 신림동 519-8,02-857-8818,31점,4,4.2
249,광수네춘천닭갈비,서울특별시 양천구 신정동 1190-18,02-2698-5540,Nan,평가자 없음,Nan
250,동원집,서울특별시 중구 을지로3가 96-2,02-2265-1339,82점,44,4.1
251,윤스와가마마,서울시 서초구 서초동 1512-5,02-587-5601,12점,평가자 없음,Nan
252,뉴질랜드스토리,서울특별시 송파구 송파동 32-1,070-7523-6265,69점,15,4.4
253,덕,서울특별시 성동구 성수동2가 320-1,02-497-5566,27점,2,4.0
254,수라냉면,서울특별시 광진구 자양동 621-20,02-447-9001,19점,2,3.4
255,감성바베큐,서울특별시 마포구 합정동 473,02-337-8788,56점,5,4.2
256,완산정,서울시 관악구 행운동 858-2,02-878-3400,34점,3,3.4
257,이차돌 건대점,서울특별시 광진구 화양동 11-10,02-466-0246,38점,6,3.7
258,표표마라탕,서울특별시 관악구 봉천동 921-1,02-883-2535,26점,2,4.2
259,귀일만두,서울특별시 서초구 방배동 911-22,02-585-7944,15점,평가자 없음,Nan
260,얌,서울특별시 양천구 신정동 1049-19,010-6424-9426,13점,1,0.0
261,커피바이,서울특별시 송파구 잠실동 208-1,02-415-4153,42점,6,3.7
262,푸라닭 자양점,서울특별시 광진구 자양동 859,02-456-9206,30점,2,4.0
263,맥도날드,서울특별시 구로구 신도림동 692,02-2211-0793,33점,2,4.5
264,청년치킨 역삼점,서울특별시 강남구 역삼동 752-41,02-555-9158,29점,2,4.0
265,우마이텐,서울특별시 관악구 봉천동 1632-3,02-6092-9992,29점,4,3.7
266,주성문참치,서울특별시 강서구 화곡1동 907-2,02-2604-6491,13점,평가자 없음,Nan
267,삼삼이네,서울특별시 중구 신당5동 145-1,02-2232-0239,16점,2,3.8
268,형제집,서울특별시 관악구 신림동 1639-16,02-875-6686,23점,평가자 없음,Nan
269,갈비명가이상 답십리점,서울특별시 동대문구 답십리동 530-27,02-2243-8200,26점,1,5.0
270,롤링핀 신도림점,서울특별시 구로구 신도림동 337,02-2677-6327,41점,4,4.8
271,봉평메밀촌,서울특별시 송파구 신천동 17-4,02-422-9628,21점,1,4.0
272,동네요릿집 완미,서울특별시 동대문구 답십리동 488-37,02-6053-8532,21점,1,4.0
273,고기반장,서울특별시 서초구 서초동 1510-15,정보없음,23점,3,5.0
274,시루사랑,서울특별시 양천구 신월2동 501-10,02-2603-0707,Nan,평가자 없음,Nan
275,써브웨이 문래점,서울특별시 영등포구 문래동3가 82-29,02-2637-3002,25점,1,5.0
276,조마루감자탕 양천점,서울특별시 양천구 신정동 323-9 이스타빌3차 B동 101호,02-2642-6118,20점,1,4.0
277,로운샤브샤브 신촌점,서울특별시 마포구 노고산동 57-1 그랜드프라자 4층,02-3144-7001,39점,5,3.4
278,유닭스토리,서울특별시 서대문구 창천동 18-72 1층,02-6012-9563,57점,6,4.0
279,마린파스타,서울특별시 서대문구 대현동 37-38,02-363-7787,26점,2,4.0
280,설눈,서울특별시 서초구 서초동 1551-9,02-6959-9339,52점,7,4.2
281,양계장집아들 서울대중앙점,서울특별시 관악구 중앙동 873-43,02-878-5735,33점,3,4.5
282,던킨도너츠,서울특별시 성동구 행당동 168-183,02-2200-1519,29점,3,4.3
283,대독장,서울특별시 강남구 역삼동 670-21 2층,02-562-5116,64점,8,4.2
284,나주곰탕,서울특별시 서대문구 대현동 101-22,02-313-8701,29점,3,3.4
285,백운봉,서울특별시 강남구 역삼동 672-39,02-554-5155,63점,12,3.9
286,김진환제과점,서울시 마포구 동교동 186-22,02-325-0378,51점,6,4.0
287,신참떡볶이,서울특별시 서대문구 대현동 56-88,02-393-5596,38점,4,4.1
288,스타벅스 방배로점,서울시 서초구 방배동 1022-5 감정평가사회관,02-3487-3814,29점,3,4.6
289,민들레,서울특별시 강남구 역삼동 669-16 2층,02-566-8070,44점,2,4.6
290,생활맥주,서울특별시 중구 중림동 1154,02-312-1511,13점,2,5.0
291,담미온 서초점,서울 서초구 서초동 1623-11 1층,02-523-4761,25점,1,5.0
292,농민백암순대 시청직영점,서울특별시 중구 북창동 19-4,02-755-5232,50점,5,3.9
293,동대문 할아버지 크레페,서울특별시 중구 을지로7가 112-3 동대문역사문화공원역 13번출구,정보없음,20점,2,4.0
294,생활맥주,서울특별시 양천구 신정동 1050-5,02-2654-4345,12점,평가자 없음,Nan
295,소년식당,서울특별시 성동구 성수동1가 668-8,02-464-7179,42점,4,4.1
296,올댓피자,서울특별시 중구 신당동 112-7,02-2236-8274,15점,평가자 없음,Nan
297,철길떡볶이,서울특별시 서대문구 충정로3가 142,02-364-3440,51점,13,3.4
