,address,id,menu,name,review_count,score,star,tel,zzim
36,서울특별시 강동구 성내동 87-6,8kgfarauumAV,"['팟타이 - 10,000원', '무쌉랏카오 - 9,000원', '뿌팟봉커리 1마리 - 12,000원', '뿌팟봉커리 2마리 - 18,000원', '똠얌꿍/똠얌까이 - 12,000원', '파냉느어 - 10,000원', '팟프릭탈래 - 16,000원', '꾸웨이띠오 - 9,000원']",보타이,5,52점,4.3,02-474-3520,30
37,서울특별시 동작구 노량진동 215-254,EjJbpCHLJcU3,"['크로와상 - 2,800원', '바게트 트라디시옹 - 3,800원']",블랑제리꾸끄,None,13점,None,02-816-1121,1
38,서울특별시 중구 오장동 90-10,yO0kgXY0UsRE,"['회냉면 - 11,000원', '물냉면 - 11,000원', '비빔냉면 - 11,000원', '온면 - 11,000원', '수육 - 20,000원', '회무침 - 10,000원', '만두 - 8,000원']",오장동 함흥냉면,8,61점,3.8,02-2267-9500,99
39,서울특별시 구로구 구로5동 110-4,iERvrgzYZF08,"['명품소한마리 600g (100g19833) - 119,000원', '통큰소한마리 800g (100g18625) - 149,000원', '한우보감 - 199,000원', '등심 170g (100g23000) - 39,100원', '안심 150g (100g 24000) - 36,000원', '부채살 170g (100g 23000) - 39,100원', '업진살 170g (100g 23000)) - 39,100원', '새우살 100g 36000 - 36,000원', '살치.토시.안창살 100g36000 - 36,000원', '한우육회 200g - 30,000원', '육사시미 200g - 35,000원', '제주흑돼지구이 170g (100g 9411) - 16,000원', '한라산세트 - 44,000원', '삼겹살 170g - 13,000원', '랍스터라면 (2-3인) - 35,000원', '제육볶음 (2인이상) - 8,000원', '버섯불고기정식 (2인이상) - 12,000원', '소고기 편백찜 정식 (2인이상) - 12,000원', '점심특선 - 12,000원', '가마솥밥+된장찌게 - 4,000원', '리오픈 이벤트 - 1,000원', '한우보감 (3-4인) - 189,000원']",서울안심축산정육식당,None,24점,None,02-854-5445,2
40,서울특별시 성동구 성수동1가 72-33,ErF9o1fz3dTD,"['살라미,무화과쨈 포카치아 샌드위치& 러프컷 프라이즈 - 11,000원', '엔쵸비,살라미,갈릭 오일 파스타 - 13,000원', '마리네이드 포크&토마토 페투치네 - 17,000원', '치킨& 바질 크림 링귀네 파스타 - 17,000원', '씨푸드 오일 링귀네 - 17,000원', '베이컨,캐슈넛크림 페투치네 - 15,000원', '판자넬라 샐러드 - 11,000원', '러프컷 포테이토 프라이즈 - 6,000원']",아비뚜에,8,46점,4.3,010-6338-1214,6
41,서울특별시 강서구 마곡동 794-1,65K1YgCRjddj,"['기름국수 - 6,000원', '비빔국수 - 7,000원', '냉국수 - 7,000원', '고기국수 - 8,000원', '바베큐덮밥 - 8,000원', '양곰탕 - 11,000원', '접짝뼈국 - 8,000원', '탐라 바베큐 대 - 35,000원', '탐라 바베큐 중 - 25,000원', '배꼽스페셜 대 - 99,000원', '한우 안심 - 45,000원', '한우 꽃등심 - 55,000원']",배꼽집,None,29점,None,02-3665-3323,18
42,서울특별시 노원구 공릉동 494-4,6RkaV9FbSVVB,"['에스프레소 - 3,500원', '플랫화이트 - 4,500원', '다크카푸치노 - 5,000원', '아인슈페너 - 5,000원', '푸어오버 - 5,500원', '아포가토 - 7,000원', '꿀자몽유자차 - 5,500원', '크리미포레스트 - 6,000원', '딥다크초코 - 6,000원', '핑크레몬스파클링 - 6,000원', '슬리밍허브 - 5,000원', '밀크티(런던바닐라,얼그레이,크리미베리) - 5,500원', 'B Tea - 6,000원', '양버터토스트 - 6,500원', '마들렌(초코칩바닐라, 허니레몬) - 2,000원', '바질스콘 - 3,000원', '말차파운드케이크 - 6,000원', '비라모레띠 - 7,000원', '라즈베리샹그리아 - 8,000원']",이너모스트,5,51점,4.4,010-6523-8012,2
43,서울특별시 구로구 개봉3동 359-46,mNUrWNbhvFgm,[],화니워니찰식빵,None,12점,None,010-2386-6215,0
44,서울특별시 관악구 신림동 1525-11,r2jizCSmSLbx,['5900 - '],나폴리네,None,28점,None,02-888-7817,14
45,서울특별시 성북구 종암동 84-34,lUVoGRU1VOIw,"['굴보쌈 大 - 40,000원', '굴보쌈 中 - 35,000원', '소금구이꼼장어 - 15,000원', '양념구이꼼장어 - 15,000원', '통영돌문어 - 35,000원', '가오리찜 - 30,000원', '생대구탕 - 30,000원', '동태탕 - 20,000원', '닭도리탕 - 30,000원']",부산꼼장어,None,13점,None,02-925-2052,2
46,서울특별시 양천구 신월동 602-8,SOkbaeF2xLng,"['우리회세트 - 60,000원', '광어 - 28,000원', '광어세꼬시 - 20,000원']",우리회수산,None,12점,None,02-2697-3838,1
47,서울특별시 강동구 성내동 552-7,A3bY61XiBRdV,"['미니. 탕수육+짜장1 - 15,000원', '몽1. 탕수육+짜장2+군만두 - 18,000원', '몽2. 탕수육+짜장,짬뽕+군만두 - 19,000원', '몽3. 탕수육+쟁반짜장2人+군만두 - 20,000원', '몽4. 사천탕수육+쟁반짜장2人+군만두 - 24,000원', '몽5. 양장피+짜장2+군만두 - 28,000원', '몽6. 팔보채+짜장2+군만두 - 30,000원', '몽7. 깐풍기+짜장2+군만두 - 27,000원', '몽8. 유산슬+짜장2+군만두 - 30,000원', '몽9. 깐풍새우+짜장2+군만두 - 30,000원', '몽10. 깐쇼새우+짜장2+군만두 - 30,000원']",차이몽,None,12점,None,02-477-6777,1
48,서울특별시 동대문구 전농동 103-287,oixl5krlpKtS,"['삼겹살 정식 - 7,500원']",기예르모,None,26점,None,070-7806-3262,6
49,대전광역시 중구 선화동 52-2,IdZMXQZOn7VF,"['수육(소) - 10,000원', '두부두루치기 - 7,000원', '오징어두루치기 - 9,000원', '칼국수 - 3,500원', '양념면 - 4,000원', '공기밥 - 1,000원', '면사리 - 1,500원', '수육 대 - 18,000원', '맥주 - 3,000원', '청하 - 4,000원']",광천식당,27,63점,3.8,042-226-4751,220
50,서울시 서대문구 홍은동 9-86,yBNsEg12wBRD,"['닭곰탕 - 5,500원', '닭볶음탕 - 25,000원', '라면사리 - 2,000원', '떡사리 - 2,000원', '음료 - 2,000원']",어머니와 아들,6,51점,4.4,02-6402-0411,10
51,서울특별시 성동구 금호동4가 235,3jIxN12UATsG,"['문어숙회 - 30,000원', '물가자미세꼬시 - 30,000원', '통오징어짬뽕탕 - 25,000원']",해양,None,14점,None,02-2297-0309,8
52,서울특별시 도봉구 쌍문동 627,CSB3jGogHXhc,"['하이스페셜 - 29,000원']",참치오,None,13점,None,02-900-7181,1
53,서울특별시 용산구 남영동 40-4,cZIoTojCPqpY,"['계란말이 - 10,000원', '계란범벅 - 12,000원', '두부김치 - 12,000원', '참치찌개 - 15,000원', '부대찌개 - 15,000원', '김치찌개 - 15,000원', '번데기 - 12,000원', '오징어볶음 - 13,000원', '오징어덮채 - 15,000원', '골뱅이무침 - 15,000원', '닭볶음탕 - 20,000원']",까치네,6,56점,4.2,02-798-4668,68
54,서울 송파구 방이동 112-1 아인빌라,kmY9N15EgaiI,[],짜장2.9 방이시장2호점,None,22점,None,02-422-3900,1
55,서울특별시 중랑구 중화동 305-66,9QKByCm7fWKp,"['탕수육+짜장+짬뽕 - 15,000원', '깐풍기+짜장2 - 22,000원', '팔보채+짜장+짬뽕 - 26,000원', '양장피+짜장+짬뽕 - 26,000원', '탕수육+짬짜면1 - 12,000원', '탕수육+쟁반짜장2 - 17,000원', '볶음불짜장 - 6,000원', '볶음불짬뽕 - 6,000원', '육개장 - 5,000원', '쌀짜장 - 5,000원', '쌀짬뽕 - 5,500원', '찹쌀탕수육 1人 - 8,000원', '간짜장 - 5,000원', '짬뽕 - 4,500원', '우동 - 4,500원', '울면 - 5,000원', '삼선볶음밥 - 7,500원']",대흥각,None,12점,None,0504-109-6092,0
56,서울특별시 서초구 반포동 118-3,fDUw8zbar9iT,"['한우 생갈비 - 58,000원', '한우 안창살 - 54,000원', '한우 꽃등심 - 39,000원', '한우 샤브샤브 - 33,000원', '소고기 샤브샤브 - 28,000원']",한우리 센트럴시티점,4,50점,4.1,02-6282-5353,24
57,서울특별시 은평구 진관동 67-1,2G0u181Mh2Bn,"['숯불구이 볶음밥 - 11,000원', '톰양쿵 - 10,000원', '청신탕면 - 9,000원', '톰양 볶음밥 - 11,000원', '나시고랭 - 11,000원', '미고랭 - 11,000원', '비빔 쌀국수 - 11,000원', '해산물 볶음 쌀국수 - 11,000원', '해산물 팟 타이 - 11,000원', '소고기 팟 타이 - 11,000원']",포베이,None,13점,None,02-353-0461,1
58,서울특별시 용산구 이태원동 118-16,eqJ2vo3LEd6A,"['매운제작소 쪽갈 - 15,000원', '제작소 쪽갈비 - 14,000원', '생껍데기 - 13,000원', '수제소세지 - 13,000원', '최류탄 주먹밥 - 9,000원', '해물해장라면 - 7,000원']",쪽갈비제작소,3,31점,3.6,02-792-8368,29
59,서울특별시 노원구 상계동 581-2,n3vFi4THg7qh,"['짜장면 - 4,000원', '짬뽕 - 5,000원', '볶음밥 - 5,000원', '간짜장 - 5,000원', '사천탕수육 - 16,000원', '삼선짬뽕 - 7,000원', '토마토덮밥 - 7,000원', '삼선볶음밥 - 6,000원', '마라탕차돌짬뽕 - 7,500원']",손 옛날짜장,1,23점,4.0,02-930-0304,1
60,서울특별시 강남구 청담동 7-12,jFPeI1Ls371o,"['오룡해삼 - 80,000원', '황태짬뽕 - 10,000원', '삼선짬뽕 - 10,000원', '사천새우가지 - 53,000원', '가지덮밥 - 10,000원']",중식당 청담,10,62점,4.1,02-6404-3329,65
61,서울특별시 용산구 이태원동 127-2 혜문빌딩 1층,URhR4abeOSuR,[],케르반,3,30점,4.0,02-790-1997,9
62,서울특별시 강동구 천호2동 307-9,nDH8G0oOKxLF,"['석쇠구이닭발(1인분) - 8,000원', '매운국물닭발(2인분) - 17,000원', '무뼈구이닭발 - 15,000원', '오징어볶음 - 10,000원', '껍데기볶음 - 9,000원', '오돌뼈봌음 - 9,000원', '똥 집볶음 - 9,000원', '껍데기구이 - 6,000원', '마약떡볶이 - 5,000원', '날치알주먹밥 - 3,000원', '유부우동 - 4,000원']",119닭발,3,32점,4.0,02-489-1289,6
63,서울특별시 서대문구 남가좌동 328-32,SKiCcqT8nSws,"['런치스페셜(A코스1인) - 20,000원', '런치스페셜(B코스1인) - 25,000원', '스폐셜코스(1인) - 30,000원', '탕수육 (소) - 18,000원', '칠리새우(소) - 25,000원', '짜장면 - 6,000원', '짬뽕 - 8,000원', '메뉴판1 - ', '메뉴판2 - ', '메뉴판3 - ']",희원,None,26점,None,02-373-8868,3
64,서울특별시 도봉구 창동 453-1,lHuqrYfNO9mo,"['족발 小 - 27,000원', '족발 中 - 31,000원', '족발 大(앞발) - 35,000원', '매운족발 小 - 29,000원', '매운족발 中 - 33,000원', '매운족발 大 - 37,000원', '반반족발 - 37,000원']",신창족발,2,27점,4.0,02-992-7604,0
65,서울특별시 금천구 가산동 60-19,B7RMvyfHpmGn,[],WARUNG MAKAN BOROBUDUR,None,12점,None,,0
66,서울특별시 중구 남대문로5가 541,FpCBKQtMtacQ,"['미숫가루 - 5,000원', '진저 허니티 - 5,000원', '허니 레몬티 - 5,000원', '애플 유자차 - 5,000원', '딸기라떼 - 4,800원', '그린티라떼 - 4,500원', '에쏘 그린티라떼 - 4,800원', '초콜릿 라떼 - 4,500원', '녹차 - 4,500원', '얼그레이 - 4,500원', '잉글리쉬 애프터눈 - 4,500원', '민트 - 4,500원', '카야 토스트 - 3,500원', '치즈카야 토스트 - 3,800원', '뉴옥치즈 - 5,500원', '쿠앤크 - 5,500원', '초코아몬드 - 5,500원']",코피티암 서울스퀘어점,2,29점,4.4,02-6456-8837,0
67,서울특별시 중랑구 중화동 110-11,sDMTmS1SUUvj,"['와인양꼬치 - 12,000원', '양념양꼬치 - 12,000원', '양갈비살꼬치 - 14,000원', '숙성양갈비 - 25,000원', '마라쪽갈비 - 15,000원', '왕새우꼬치 - 12,000원', '탕수육中 - 12,000원', '탕수육大 - 15,000원', '향라새우 - 15,000원', '마라샹궈 - 18,000원', '지삼선 - 12,000원', '즈란혈관 - 12,000원', '마파두부 - 10,000원', '토마토계란볶음 - 12,000원', '오이양장피 - 10,000원', '새우볶음밥 - 6,000원', '야채볶음면 - 6,000원', '훈둔면 - 6,000원', '온면 - 6,000원', '냉면 - 6,000원', '물만두 - 5,000원', '마라탕 - 12,000원', '마파두부덮밥 - 8,000원', '토마토계란덮밥 - 8,000원']",양순이양꼬치,1,25점,5.0,02-6083-8717,0
68,서울특별시 영등포구 당산동1가 449,L1QN1Dbmij5q,"['새우튀김2ps - 8,000원', '나가사끼짬뽕 - 18,000원', '1인사시미 - 15,000원', '2인사시미 - 25,000원', '수비드목살스테이크 - 18,000원', '가지모찌요리 - 15,000원']",더핸드,10,55점,3.9,02-2068-8438,36
69,서울특별시 영등포구 영등포동 618-154,3PvxLul0WWPl,"['소고기쌀국수 - 7,500원', '분짜 - 11,000원', '반미 - 7,000원', '새우볶음밥 - 7,500원', '닭고기 볶음밥 - 8,000원', '파인애플 볶음밥 - 8,000원', '꽁비엔 팟타이 - 8,500원']",꽁 비엔,2,32점,4.2,02-832-8697,11
70,서울특별시 영등포구 여의도동 45-1,na5neL5SikrS,"['아메리카노 - 3,800원']",카페 진정성 여의도점,2,31점,5.0,02-6484-5133,0
71,서울특별시 강남구 신사동 631-32,2HI1MaC65Ztl,"['LUNCH :  36,000  .  39,000    DINNER : 39,000  .  69,000 - 36000~69000']",마르셀,4,35점,4.5,02-511-5975,11
72,대전광역시 중구 대흥동 93-1,uu7spdfRgPQb,"['쇠고기가지덮밥 - 9,500원', '명란마요아보카도스팸밥 - 10,000원', '마늘쫑파스타 - 9,500원', '명란아보크림파스타 - 13,000원', '에그인헬 - 9,000원', '오믈렛라이스 - 9,500원']",카모메식탁 세이드댓댓,6,52점,4.2,010-8599-0118,21
73,서울특별시 도봉구 창동 657-56,FUkoI54wgHCy,"['오리지날 함박 - 9,000원', '갈릭크림 함박 - 9,500원', '칠리치즈 함박 - 9,500원', '투움바 스파게티 - 11,000원', '까르보나라 - 9,000원', '나폴리탄 스파게티 - 9,000원', '명란오일 스파게티 - 9,500원', '할라피뇨 스파게티 - 8,500원']",무이식당,3,29점,4.8,070-7543-1196,1
74,서울특별시 광진구 화양동 12-33,CGRuqjyJvwFS,"['로제로쏘 - 8,900원', '단호박파스타 - 12,000원', '시금치파스타 - 8,900원', '야끼소바 - 7,500원', '까르보나라 - 8,900원', '아라비아따 - 8,900원', '얼큰짱뽕 - 7,900원', '마약옥수수 - 4,500원', '빠네(로제,시금치,까르보) - 12,000원', '망고치즈셀러드 - 5,500원', '찹스테이크 - 12,000원', '모짜렐라 - 9,900원', '뚜또베네 - 8,900원', '연어샐러드 - 5,500원']",바른면집,8,28점,2.6,02-6101-2261,75
75,서울특별시 중랑구 상봉동 90-10 2층,aiSUPnSqXIpS,"['크림파스타 - 12,900원', '스파이시파스타 - 13,900원', '수제왕새우튀김 - 13,900원', '오마카세사시미 - 14,900원', '연어사시미 - 17,900원', '치즈플레이팅 - 13,900원', '레드락생맥주 - 3,500원']",안주,1,23점,4.0,010-2032-7196,0
76,서울 용산구 한남동 3-1,0yL4wKOADlgU,"['런치 남작 코스 - 78,000원', '런치 자작 코스 - 98,000원', '런치 주작 코스 - 138,000원', '런치 채식 코스 - 80,000원', '디너 백작 코스 - 108,000원', '디너 후작 코스 - 148,000원', '디너 공작 코스 - 198,000원', '디너 채식 코스 - 98,000원', '단품메뉴 - ', '중국차 - ']",쥬에,3,39점,4.6,02-798-9700,4
77,서울특별시 마포구 연남동 227-13,8yEdMKIboKXI,['불고기팟타이 - '],달빛부엌,3,52점,4.0,02-322-3559,99
78,서울특별시 강남구 대치4동 897-3,w0IG5Ud8aQqd,"['청국장, 된장찌개 각 - 8,000원', '닭매운탕 - 30,000원', '두부김치 - 15,000원', '제육볶음,오징어볶음 각 - 9,000원', '김치찌개, 순두부 각 - 7,000원']",청국장서갈비,2,58점,4.0,02-561-1019,67
79,서울특별시 구로구 온수동 44-10,jpjPRKpBk5dG,"['한우등심 - 69,000원', '살치살 - 32,000원', '안창살 - 25,000원', '꽃살 - 21,000원', '부채살 - 18,000원', '불고기정식+압력돌솥밥 - 9,000원', '돼지김치두루치기+압력돌솥밥 - 8,000원', '우렁된장찌개+압력돌솥밥 - 8,000원', '차돌된장찌개+압력돌솥밥 - 8,000원', '영양되비지탕+압력돌솥밥 - 8,000원']",우가본,None,22점,None,02-2611-9233,2
80,서울시 은평구 진관동 66 은평뉴타운 꿈에그린 상가동 B02호,CqcXutEDDge2,"['은평맥주 - 5900~6500', '스파이시크림새우퐁듀 - 16,000원', '감바스알하이요 - 17,000원', '새우커리크림리조또 - 12,000원', '옛날국물떡볶이 - 14,000원', '맥앤치즈포테이토 - 14,000원']",노비어노라이프,None,20점,None,02-351-3354,1
